trajectory_id,base_seed,family,class,sigma,stride,degree,metric,split,cache_path
A_jump_11_sigma0,11,A,jump,0.0,1,0,bottleneck_linf,test,/home/hugo_souto/Stuff/Research/Topological_Kinematics/research_review/results/cache/A/jump/11/sigma0/stride1
A_jump_11_sigma50,11,A,jump,0.05,1,0,bottleneck_linf,test,/home/hugo_souto/Stuff/Research/Topological_Kinematics/research_review/results/cache/A/jump/11/sigma50/stride1
A_ramp_11_sigma0,11,A,ramp,0.0,1,0,bottleneck_linf,test,/home/hugo_souto/Stuff/Research/Topological_Kinematics/research_review/results/cache/A/ramp/11/sigma0/stride1
A_ramp_11_sigma50,11,A,ramp,0.05,1,0,bottleneck_linf,test,/home/hugo_souto/Stuff/Research/Topological_Kinematics/research_review/results/cache/A/ramp/11/sigma50/stride1
A_return_11_sigma0,11,A,return,0.0,1,0,bottleneck_linf,test,/home/hugo_souto/Stuff/Research/Topological_Kinematics/research_review/results/cache/A/return/11/sigma0/stride1
A_return_11_sigma50,11,A,return,0.05,1,0,bottleneck_linf,test,/home/hugo_souto/Stuff/Research/Topological_Kinematics/research_review/results/cache/A/return/11/sigma50/stride1
B_jump_11_sigma0,11,B,jump,0.0,1,0,bottleneck_linf,test,/home/hugo_souto/Stuff/Research/Topological_Kinematics/research_review/results/cache/B/jump/11/sigma0/stride1
B_jump_11_sigma50,11,B,jump,0.05,1,0,bottleneck_linf,test,/home/hugo_souto/Stuff/Research/Topological_Kinematics/research_review/results/cache/B/jump/11/sigma50/stride1
B_ramp_11_sigma0,11,B,ramp,0.0,1,0,bottleneck_linf,test,/home/hugo_souto/Stuff/Research/Topological_Kinematics/research_review/results/cache/B/ramp/11/sigma0/stride1
B_ramp_11_sigma50,11,B,ramp,0.05,1,0,bottleneck_linf,test,/home/hugo_souto/Stuff/Research/Topological_Kinematics/research_review/results/cache/B/ramp/11/sigma50/stride1
B_return_11_sigma0,11,B,return,0.0,1,0,bottleneck_linf,test,/home/hugo_souto/Stuff/Research/Topological_Kinematics/research_review/results/cache/B/return/11/sigma0/stride1
B_return_11_sigma50,11,B,return,0.05,1,0,bottleneck_linf,test,/home/hugo_souto/Stuff/Research/Topological_Kinematics/research_review/results/cache/B/return/11/sigma50/stride1
A_jump_11_sigma0,11,A,jump,0.0,1,0,bottleneck_linf,train,/home/hugo_souto/Stuff/Research/Topological_Kinematics/research_review/results/cache/A/jump/11/sigma0/stride1
A_jump_11_sigma50,11,A,jump,0.05,1,0,bottleneck_linf,train,/home/hugo_souto/Stuff/Research/Topological_Kinematics/research_review/results/cache/A/jump/11/sigma50/stride1
A_ramp_11_sigma0,11,A,ramp,0.0,1,0,bottleneck_linf,train,/home/hugo_souto/Stuff/Research/Topological_Kinematics/research_review/results/cache/A/ramp/11/sigma0/stride1
A_ramp_11_sigma50,11,A,ramp,0.05,1,0,bottleneck_linf,train,/home/hugo_souto/Stuff/Research/Topological_Kinematics/research_review/results/cache/A/ramp/11/sigma50/stride1
A_return_11_sigma0,11,A,return,0.0,1,0,bottleneck_linf,train,/home/hugo_souto/Stuff/Research/Topological_Kinematics/research_review/results/cache/A/return/11/sigma0/stride1
A_return_11_sigma50,11,A,return,0.05,1,0,bottleneck_linf,train,/home/hugo_souto/Stuff/Research/Topological_Kinematics/research_review/results/cache/A/return/11/sigma50/stride1
B_jump_11_sigma0,11,B,jump,0.0,1,0,bottleneck_linf,train,/home/hugo_souto/Stuff/Research/Topological_Kinematics/research_review/results/cache/B/jump/11/sigma0/stride1
B_jump_11_sigma50,11,B,jump,0.05,1,0,bottleneck_linf,train,/home/hugo_souto/Stuff/Research/Topological_Kinematics/research_review/results/cache/B/jump/11/sigma50/stride1
B_ramp_11_sigma0,11,B,ramp,0.0,1,0,bottleneck_linf,train,/home/hugo_souto/Stuff/Research/Topological_Kinematics/research_review/results/cache/B/ramp/11/sigma0/stride1
B_ramp_11_sigma50,11,B,ramp,0.05,1,0,bottleneck_linf,train,/home/hugo_souto/Stuff/Research/Topological_Kinematics/research_review/results/cache/B/ramp/11/sigma50/stride1
B_return_11_sigma0,11,B,return,0.0,1,0,bottleneck_linf,train,/home/hugo_souto/Stuff/Research/Topological_Kinematics/research_review/results/cache/B/return/11/sigma0/stride1
B_return_11_sigma50,11,B,return,0.05,1,0,bottleneck_linf,train,/home/hugo_souto/Stuff/Research/Topological_Kinematics/research_review/results/cache/B/return/11/sigma50/stride1
A_jump_11_sigma0,11,A,jump,0.0,1,0,bottleneck_linf,validation,/home/hugo_souto/Stuff/Research/Topological_Kinematics/research_review/results/cache/A/jump/11/sigma0/stride1
A_jump_11_sigma50,11,A,jump,0.05,1,0,bottleneck_linf,validation,/home/hugo_souto/Stuff/Research/Topological_Kinematics/research_review/results/cache/A/jump/11/sigma50/stride1
A_ramp_11_sigma0,11,A,ramp,0.0,1,0,bottleneck_linf,validation,/home/hugo_souto/Stuff/Research/Topological_Kinematics/research_review/results/cache/A/ramp/11/sigma0/stride1
A_ramp_11_sigma50,11,A,ramp,0.05,1,0,bottleneck_linf,validation,/home/hugo_souto/Stuff/Research/Topological_Kinematics/research_review/results/cache/A/ramp/11/sigma50/stride1
A_return_11_sigma0,11,A,return,0.0,1,0,bottleneck_linf,validation,/home/hugo_souto/Stuff/Research/Topological_Kinematics/research_review/results/cache/A/return/11/sigma0/stride1
A_return_11_sigma50,11,A,return,0.05,1,0,bottleneck_linf,validation,/home/hugo_souto/Stuff/Research/Topological_Kinematics/research_review/results/cache/A/return/11/sigma50/stride1
B_jump_11_sigma0,11,B,jump,0.0,1,0,bottleneck_linf,validation,/home/hugo_souto/Stuff/Research/Topological_Kinematics/research_review/results/cache/B/jump/11/sigma0/stride1
B_jump_11_sigma50,11,B,jump,0.05,1,0,bottleneck_linf,validation,/home/hugo_souto/Stuff/Research/Topological_Kinematics/research_review/results/cache/B/jump/11/sigma50/stride1
B_ramp_11_sigma0,11,B,ramp,0.0,1,0,bottleneck_linf,validation,/home/hugo_souto/Stuff/Research/Topological_Kinematics/research_review/results/cache/B/ramp/11/sigma0/stride1
B_ramp_11_sigma50,11,B,ramp,0.05,1,0,bottleneck_linf,validation,/home/hugo_souto/Stuff/Research/Topological_Kinematics/research_review/results/cache/B/ramp/11/sigma50/stride1
B_return_11_sigma0,11,B,return,0.0,1,0,bottleneck_linf,validation,/home/hugo_souto/Stuff/Research/Topological_Kinematics/research_review/results/cache/B/return/11/sigma0/stride1
B_return_11_sigma50,11,B,return,0.05,1,0,bottleneck_linf,validation,/home/hugo_souto/Stuff/Research/Topological_Kinematics/research_review/results/cache/B/return/11/sigma50/stride1
