trajectory_id,base_seed,family,class,sigma,stride,degree,metric,split,cache_path
A_jump_3000_sigma0,3000,A,jump,0.0,1,0,bottleneck_linf,test,/home/hugo_souto/Stuff/Research/Topological_Kinematics/research_review/results/cache/A/jump/3000/sigma0/stride1
A_jump_3000_sigma50,3000,A,jump,0.05,1,0,bottleneck_linf,test,/home/hugo_souto/Stuff/Research/Topological_Kinematics/research_review/results/cache/A/jump/3000/sigma50/stride1
A_jump_3001_sigma0,3001,A,jump,0.0,1,0,bottleneck_linf,test,/home/hugo_souto/Stuff/Research/Topological_Kinematics/research_review/results/cache/A/jump/3001/sigma0/stride1
A_jump_3001_sigma50,3001,A,jump,0.05,1,0,bottleneck_linf,test,/home/hugo_souto/Stuff/Research/Topological_Kinematics/research_review/results/cache/A/jump/3001/sigma50/stride1
A_jump_3002_sigma0,3002,A,jump,0.0,1,0,bottleneck_linf,test,/home/hugo_souto/Stuff/Research/Topological_Kinematics/research_review/results/cache/A/jump/3002/sigma0/stride1
A_jump_3002_sigma50,3002,A,jump,0.05,1,0,bottleneck_linf,test,/home/hugo_souto/Stuff/Research/Topological_Kinematics/research_review/results/cache/A/jump/3002/sigma50/stride1
A_jump_3003_sigma0,3003,A,jump,0.0,1,0,bottleneck_linf,test,/home/hugo_souto/Stuff/Research/Topological_Kinematics/research_review/results/cache/A/jump/3003/sigma0/stride1
A_jump_3003_sigma50,3003,A,jump,0.05,1,0,bottleneck_linf,test,/home/hugo_souto/Stuff/Research/Topological_Kinematics/research_review/results/cache/A/jump/3003/sigma50/stride1
A_jump_3004_sigma0,3004,A,jump,0.0,1,0,bottleneck_linf,test,/home/hugo_souto/Stuff/Research/Topological_Kinematics/research_review/results/cache/A/jump/3004/sigma0/stride1
A_jump_3004_sigma50,3004,A,jump,0.05,1,0,bottleneck_linf,test,/home/hugo_souto/Stuff/Research/Topological_Kinematics/research_review/results/cache/A/jump/3004/sigma50/stride1
